,Colors,Satisfaction levels,Temperature,Income
0,Purple,Low,44,995772
1,Orange,Medium,47,315711
2,Red,Low,64,445829
3,Yellow,Medium,67,127952
4,Yellow,Medium,67,973395
5,Yellow,High,9,162315
6,Blue,Low,83,892371
7,Yellow,High,21,369783
8,Orange,Low,36,314137
9,Green,Low,87,132579
10,Purple,Low,70,620581
11,Red,High,88,458242
12,Red,Medium,88,384564
13,Purple,High,12,745831
14,Green,High,58,746326
15,Blue,Low,65,320744
16,Red,Medium,39,180584
17,Blue,Medium,87,849052
18,Orange,Medium,46,614474
19,Blue,Medium,88,551377
20,Orange,Low,81,959734
21,Red,Medium,37,684343
22,Blue,Low,25,380775
23,Purple,Low,77,755048
24,Yellow,Medium,72,897633
25,Red,High,9,265653
26,Yellow,Low,20,616745
27,Orange,High,80,934425
28,Red,Low,69,966308
29,Green,Medium,79,864131
30,Yellow,Medium,47,342752
31,Red,High,64,440835
32,Blue,Low,82,542165
33,Yellow,Medium,99,356110
34,Orange,Medium,88,929375
35,Yellow,Medium,49,607423
36,Yellow,Low,29,930000
37,Red,High,19,451170
38,Blue,Low,19,952179
39,Blue,High,14,380648
40,Blue,High,39,566209
41,Red,Low,32,240131
42,Green,High,65,928301
43,Purple,Low,9,59811
44,Yellow,Low,57,734115
45,Yellow,Low,32,483998
46,Green,Medium,31,755895
47,Purple,Medium,74,132144
48,Green,High,23,193561
49,Red,Low,35,94665
50,Red,Low,75,391567
51,Purple,Medium,55,313648
52,Orange,Low,28,524591
53,Orange,Medium,34,846298
54,Red,High,0,487428
55,Purple,High,0,919463
56,Blue,Low,36,659891
57,Purple,Medium,53,237838
58,Blue,Medium,5,283867
59,Green,Medium,38,447106
60,Green,Medium,17,420807
61,Red,High,79,330290
62,Blue,High,4,905104
63,Blue,High,42,724660
64,Blue,Low,58,885573
65,Blue,High,31,81557
66,Yellow,Medium,1,161078
67,Yellow,Low,65,668920
68,Green,Medium,41,71713
69,Yellow,High,57,630879
70,Red,Low,35,55444
71,Yellow,Low,11,781689
72,Orange,High,46,580810
73,Purple,Low,82,123183
74,Blue,Low,91,96904
75,Green,Low,0,30737
76,Purple,Low,14,531537
77,Yellow,Low,99,694007
78,Purple,Low,53,726713
79,Purple,High,12,364361
80,Purple,Low,42,90163
81,Yellow,High,84,284278
82,Purple,Medium,75,988039
83,Purple,Medium,68,57883
84,Purple,Medium,6,772286
85,Red,Low,68,96107
86,Purple,Medium,47,859792
87,Yellow,Medium,3,717171
88,Green,Medium,76,806213
89,Orange,Low,52,422556
90,Orange,Medium,78,561545
91,Orange,High,15,419514
92,Red,Low,20,546660
93,Blue,Medium,99,407636
94,Orange,High,58,907798
95,Blue,Low,23,879423
96,Yellow,High,79,596367
97,Red,Low,13,220932
98,Orange,Medium,85,768915
99,Red,High,48,793308
100,Blue,High,49,148084
101,Green,Medium,69,281540
102,Purple,Low,41,515832
103,Green,Medium,35,276062
104,Red,Medium,64,19359
105,Orange,Low,95,388516
106,Yellow,High,69,185331
107,Green,High,94,950986
108,Green,High,0,156199
109,Orange,High,50,512479
110,Red,Medium,36,111261
111,Orange,High,34,833669
112,Blue,High,48,351845
113,Red,High,93,280896
114,Green,High,3,118101
115,Green,High,98,221113
116,Yellow,Low,42,474547
117,Green,Medium,77,322768
118,Yellow,High,21,754543
119,Green,High,73,836565
120,Blue,Medium,0,628078
121,Green,High,10,772112
122,Yellow,Medium,43,196225
123,Yellow,Low,58,243138
124,Yellow,High,23,334900
125,Green,High,59,659122
126,Yellow,Low,2,100928
127,Purple,High,98,616045
128,Blue,Low,62,94355
129,Green,Low,35,634226
130,Yellow,High,94,451898
131,Blue,Low,67,862941
132,Green,High,82,227456
133,Blue,High,46,478967
134,Purple,High,99,34777
135,Green,Low,20,921743
136,Yellow,Low,81,548112
137,Red,Low,50,269978
138,Yellow,Medium,27,405634
139,Green,High,14,416059
140,Yellow,Low,41,350922
141,Red,Medium,58,308367
142,Red,High,65,785867
143,Red,High,36,333714
144,Yellow,High,10,802953
145,Green,Medium,86,491378
146,Yellow,Low,43,460110
147,Red,Low,11,871091
148,Purple,Low,2,106990
149,Red,Low,51,794507
150,Orange,High,80,118483
151,Red,High,32,393570
152,Orange,Low,54,24254
153,Green,Low,0,848371
154,Yellow,Low,38,492452
155,Green,Medium,19,47073
156,Yellow,High,46,782658
157,Orange,Low,42,244907
158,Red,Low,56,950814
159,Red,Medium,60,828217
160,Red,Low,77,74570
161,Yellow,High,30,90577
162,Red,Medium,24,459572
163,Green,Medium,2,426522
164,Green,Medium,3,571238
165,Red,Low,94,910139
166,Purple,Low,98,350840
167,Yellow,Low,13,757531
168,Purple,Medium,40,254482
169,Orange,Medium,72,895043
170,Red,High,19,875360
171,Purple,Medium,95,89904
